Quarter,Positive,Negative,Neutral
Q1_2021,1678,1193,485
Q2_2021,230,56,174
Q3_2021,77,36,41
Q4_2021,24,3,21
Q1_2022,223,74,149
Q3_2022,2,2,0
Q4_2022,89,26,63
Q1_2023,38,6,32
Q2_2023,2,3,-1
Q3_2023,175,142,33
Q4_2023,187,72,115
Q1_2024,4,4,0
Q2_2024,4,0,4
