Quarter,Positive,Negative,Neutral
Q1_2021,11,19,-8
Q2_2021,0,0,0
Q3_2021,5,4,1
Q4_2021,1,3,-2
Q1_2022,3,0,3
Q3_2022,1,0,1
Q4_2022,3,0,3
Q1_2023,3,0,3
Q2_2023,2,1,1
Q3_2023,0,4,-4
Q4_2023,6,2,4
Q1_2024,2,1,1
Q2_2024,0,1,-1
